2018-07-18T21:05:37.824-0400 I NETWORK  [conn26] end connection 127.0.0.1:49323 (0 connections now open)
2018-07-18T21:06:20.819-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49348 #27 (1 connection now open)
2018-07-18T21:06:20.820-0400 I NETWORK  [conn27] received client metadata from 127.0.0.1:49348 conn27: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:10:45.446-0400 I NETWORK  [conn27] end connection 127.0.0.1:49348 (0 connections now open)
2018-07-18T21:12:47.907-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49362 #28 (1 connection now open)
2018-07-18T21:12:47.908-0400 I NETWORK  [conn28] received client metadata from 127.0.0.1:49362 conn28: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:17:17.081-0400 I NETWORK  [conn28] end connection 127.0.0.1:49362 (0 connections now open)
2018-07-18T21:17:31.784-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49385 #29 (1 connection now open)
2018-07-18T21:17:31.786-0400 I NETWORK  [conn29] received client metadata from 127.0.0.1:49385 conn29: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:19:57.662-0400 I NETWORK  [conn29] end connection 127.0.0.1:49385 (0 connections now open)
2018-07-18T21:20:18.356-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49390 #30 (1 connection now open)
2018-07-18T21:20:18.356-0400 I NETWORK  [conn30] received client metadata from 127.0.0.1:49390 conn30: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:27:34.796-0400 I NETWORK  [conn30] end connection 127.0.0.1:49390 (0 connections now open)
2018-07-18T21:27:43.737-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49412 #31 (1 connection now open)
2018-07-18T21:27:43.737-0400 I NETWORK  [conn31] received client metadata from 127.0.0.1:49412 conn31: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:29:02.752-0400 I NETWORK  [conn31] end connection 127.0.0.1:49412 (0 connections now open)
2018-07-18T21:30:02.508-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49415 #32 (1 connection now open)
2018-07-18T21:30:02.509-0400 I NETWORK  [conn32] received client metadata from 127.0.0.1:49415 conn32: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:31:24.554-0400 I NETWORK  [conn32] end connection 127.0.0.1:49415 (0 connections now open)
2018-07-18T21:32:24.791-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49436 #33 (1 connection now open)
2018-07-18T21:32:24.792-0400 I NETWORK  [conn33] received client metadata from 127.0.0.1:49436 conn33: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:33:40.795-0400 I NETWORK  [conn33] end connection 127.0.0.1:49436 (0 connections now open)
2018-07-18T21:51:15.019-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49505 #34 (1 connection now open)
2018-07-18T21:51:15.019-0400 I NETWORK  [conn34] received client metadata from 127.0.0.1:49505 conn34: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T21:52:25.460-0400 I NETWORK  [conn34] end connection 127.0.0.1:49505 (0 connections now open)
2018-07-18T21:58:13.206-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49516 #35 (1 connection now open)
2018-07-18T21:58:13.206-0400 I NETWORK  [conn35] received client metadata from 127.0.0.1:49516 conn35: { driver: { name: "PyMongo", version: "3.7.0" }, os: { type: "Darwin", name: "Darwin", architecture: "x86_64", version: "10.13.5" }, platform: "CPython 3.6.5.final.0" }
2018-07-18T22:00:02.865-0400 I NETWORK  [conn35] end connection 127.0.0.1:49516 (0 connections now open)
2018-07-18T22:00:25.727-0400 I NETWORK  [listener] connection accepted from 127.0.0.1:49522 #36 (1 connection now open)
